epoch,train_loss,val_loss,val_auc,duration_sec
1,0.701503562967343,0.5363772600074516,0.7820572987462083,4431.917922496796
2,0.6081853444751624,0.530150057113749,0.7830124174508105,3792.714314222336
3,0.5590481053564391,0.5100705389029925,0.785417405011294,3707.5535230636597
4,0.5137651791594837,0.5129091755820392,0.7853360767154473,3662.065646648407
5,0.4720455814269128,0.5246932516414344,0.7897678077282574,3668.911225795746
6,0.4391723724189653,0.5461896381418098,0.7814701245233094,3678.207947254181
7,0.40573590649272046,0.5447817630687292,0.7799121181103078,3632.887430667877
8,0.4426624466933407,0.42733111514355193,0.8712478383986589,4045.7326395511627
9,0.3935160198214315,0.4467961750258119,0.8566968379808423,4644.02305150032
10,0.36468376982419587,0.45322448875543403,0.8536405172069994,3703.4002735614777
