epoch,train_loss,val_loss,val_auc,duration_sec
1,0.7031588478440658,0.5611170832744616,0.7776671991385969,3556.4819283485413
2,0.6063396898680898,0.5112719228871837,0.7924563887557998,3577.682366847992
3,0.5555054208318552,0.5191251647347582,0.7930284727061849,3523.0073659420013
4,0.5106261896336122,0.5279482536313866,0.7906960714228812,3526.4227800369263
5,0.4687861930273409,0.5357038399572439,0.7885650361298423,3538.859706401825
6,0.43563352230662405,0.5426593413059602,0.7849287156788968,3529.1154482364655
7,0.4012369664315758,0.5550255421311343,0.7784295303590697,3520.136719942093
8,0.3752143461468191,0.5708376886375183,0.7831539028801439,3543.660348892212
9,0.3523972790643998,0.5703834431270232,0.7819235951265285,3552.6006524562836
10,0.32963193809130636,0.595665678153263,0.7801879414460039,3564.055283308029
