epoch,train_loss,val_loss,val_auc,duration_sec
1,0.6995402292860734,0.543653601974182,0.7828469104526455,3734.1111056804657
2,0.6058459508106742,0.5303913268743385,0.7846014121601972,3538.4387905597687
3,0.5591158018664951,0.5110655244999888,0.7922670260296025,3564.085245370865
4,0.5140207459467012,0.5223036985925177,0.7927406807264247,3534.6388034820557
5,0.47398953551410544,0.535524833099826,0.7934822990163394,3534.4322860240936
6,0.4379623437486627,0.5537123467107272,0.7797941186518254,3530.3135526180267
7,0.40998921878516764,0.5407582900376131,0.7833155224056292,3530.437730073929
8,0.3830370875184998,0.5683583057319039,0.7812697422280886,3465.9589383602142
9,0.3601299008218118,0.5786949450477523,0.7819646893099611,3370.2786042690277
10,0.33730250020224123,0.5951609526272577,0.77872172602399,3439.154476881027
