Pathology,Strategy,Winner_Model,Threshold_Calib,Youden_J_Calib,ROC_AUC_Calib
Atelectasis,Override (T2_V2),T2_V2,0.2089,0.4071,0.6892
Cardiomegaly,Override (T4),T4,0.05,0.4524,0.6925
Effusion,Override (T1_V2),T1_V2,0.2395,0.4964,0.7787
Infiltration,Override (T2),T2,0.2819,0.5,0.7739
Mass,Override (T1),T1,0.2667,0.4176,0.7263
Nodule,Override (T3),T3,0.7891,0.2115,0.5887
Pneumonia,Override (T1),T1,0.4414,0.3605,0.6773
Pneumothorax,Override (20260402),20260402,0.1288,0.6667,0.9026
Consolidation,Override (T4),T4,0.2444,0.4914,0.7238
Edema,Override (Base),Base,0.7627,0.8846,0.937
Emphysema,Override (T3),T3,0.8731,0.7384,0.9157
Fibrosis,Override (T3),T3,0.05,0.5064,0.7927
Pleural_Thickening,Override (20260423),20260423,0.3166,0.5357,0.754
Hernia,Override (V1_3),V1_3,0.7069,1.0,1.0
