epoch,train_loss,val_loss,val_auc,lr,duration_sec
1,0.4498126202351731,0.49858261464969694,0.7944955170358006,9.755282581475769e-05,3440.2798438072205
2,0.4257555592877413,0.5030246780351255,0.7972693341863083,9.045084971874738e-05,3480.845718383789
3,0.39633491783296015,0.5142813073478884,0.7921017259930333,7.938926261462366e-05,3468.6855993270874
4,0.36151122328330715,0.5309230735121004,0.7897115864661355,6.545084971874738e-05,3446.9924852848053
5,0.33276151955307925,0.5375130730868953,0.7886838326773712,5e-05,3445.1281712055206
6,0.30303283274980763,0.5593648347224317,0.7931975665977806,3.4549150281252636e-05,3447.3998334407806
7,0.2709483982276447,0.5733657940088346,0.7895428448475511,2.061073738537635e-05,3449.806815624237
