epoch,train_loss,val_loss,val_auc,duration_sec
1,1.1111594139833043,1.0738679417319144,0.7504259573659835,3413.2555265426636
2,1.0208912215826411,1.0764644045836906,0.7593571849783932,3389.699994325638
3,0.9758773040623473,1.009387223579675,0.7811443292685991,21041.779138326645
4,0.9396554265102257,0.9577743609003282,0.801948093124077,3498.0417046546936
5,0.902877285365746,0.9932095720282935,0.8006732375385773,3424.497142314911
6,0.8690000703519422,0.9866164786965436,0.805659740682131,3368.70751953125
7,0.8231889969409298,1.0026819060565646,0.8115875799733255,3350.919524669647
8,0.7745240797221512,1.038558462179679,0.8056381067694238,3374.171711921692
9,0.7219866848624558,1.083817621555093,0.8082755377792464,3377.342551469803
10,0.6696333888971172,1.1500053625233422,0.8039883276008524,3374.629520177841
